instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
8682,2012-01-02,1,1,1,13,1,1,0,1,0.3,0.2727,0.36,0.2985
8683,2012-01-02,1,1,1,14,1,1,0,1,0.3,0.2727,0.36,0.4179
8684,2012-01-02,1,1,1,15,1,1,0,1,0.28,0.2424,0.38,0.4478
8685,2012-01-02,1,1,1,16,1,1,0,1,0.26,0.2273,0.35,0.4179
8686,2012-01-02,1,1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881
8687,2012-01-02,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537
8688,2012-01-02,1,1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239
8689,2012-01-02,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239
8690,2012-01-02,1,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284
8691,2012-01-02,1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836
8692,2012-01-02,1,1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537
8693,2012-01-03,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537
8694,2012-01-03,1,1,1,1,0,2,1,1,0.18,0.1818,0.55,0.2239
8695,2012-01-03,1,1,1,2,0,2,1,1,0.18,0.1667,0.51,0.2537
8696,2012-01-03,1,1,1,3,0,2,1,1,0.16,0.1364,0.55,0.2836
8697,2012-01-03,1,1,1,4,0,2,1,1,0.16,0.1515,0.55,0.2537
8698,2012-01-03,1,1,1,5,0,2,1,1,0.14,0.1364,0.54,0.194
8699,2012-01-03,1,1,1,6,0,2,1,1,0.14,0.1212,0.59,0.2836
8700,2012-01-03,1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537
8701,2012-01-03,1,1,1,8,0,2,1,1,0.16,0.1364,0.55,0.2836
8702,2012-01-03,1,1,1,9,0,2,1,1,0.16,0.1364,0.5,0.2836
8703,2012-01-03,1,1,1,10,0,2,1,1,0.16,0.1212,0.47,0.4627
8704,2012-01-03,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224
8705,2012-01-03,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224
8706,2012-01-03,1,1,1,13,0,2,1,1,0.18,0.1212,0.34,0.6567
8707,2012-01-03,1,1,1,14,0,2,1,1,0.16,0.1212,0.43,0.5224
8708,2012-01-03,1,1,1,15,0,2,1,1,0.16,0.1212,0.37,0.4179
8709,2012-01-03,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821
8710,2012-01-03,1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627
8711,2012-01-03,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224
8712,2012-01-03,1,1,1,19,0,2,1,1,0.12,0.0909,0.28,0.4179
8713,2012-01-03,1,1,1,20,0,2,1,1,0.12,0.1212,0.33,0.2537
8714,2012-01-03,1,1,1,21,0,2,1,1,0.1,0.1061,0.36,0.2239
8715,2012-01-03,1,1,1,22,0,2,1,1,0.1,0.1061,0.46,0.2537
8716,2012-01-03,1,1,1,23,0,2,1,1,0.1,0.0758,0.46,0.3881
8717,2012-01-04,1,1,1,0,0,3,1,1,0.08,0.0606,0.42,0.3284
8718,2012-01-04,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985
8719,2012-01-04,1,1,1,2,0,3,1,1,0.02,0.0152,0.34,0.2836
8720,2012-01-04,1,1,1,3,0,3,1,1,0.02,0.0152,0.34,0.2836
8721,2012-01-04,1,1,1,4,0,3,1,1,0.02,0.0455,0.41,0.194
8722,2012-01-04,1,1,1,5,0,3,1,1,0.02,0.0455,0.41,0.194
8723,2012-01-04,1,1,1,6,0,3,1,1,0.02,0.0455,0.41,0.1642
8724,2012-01-04,1,1,1,7,0,3,1,1,0.02,0.0455,0.44,0.194
8725,2012-01-04,1,1,1,8,0,3,1,1,0.02,0.0606,0.44,0.1343
8726,2012-01-04,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343
8727,2012-01-04,1,1,1,10,0,3,1,1,0.06,0.1061,0.45,0.0
8728,2012-01-04,1,1,1,11,0,3,1,2,0.08,0.1212,0.42,0.0896
8729,2012-01-04,1,1,1,12,0,3,1,2,0.1,0.1061,0.46,0.194
8730,2012-01-04,1,1,1,13,0,3,1,2,0.14,0.1212,0.43,0.2537
8731,2012-01-04,1,1,1,14,0,3,1,2,0.14,0.1212,0.46,0.2537
8732,2012-01-04,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284
8733,2012-01-04,1,1,1,16,0,3,1,2,0.18,0.1667,0.4,0.2836
8734,2012-01-04,1,1,1,17,0,3,1,2,0.2,0.197,0.4,0.194
8735,2012-01-04,1,1,1,18,0,3,1,2,0.2,0.2121,0.37,0.1343
8736,2012-01-04,1,1,1,19,0,3,1,2,0.2,0.2273,0.4,0.1045
8737,2012-01-04,1,1,1,20,0,3,1,2,0.2,0.197,0.4,0.194
8738,2012-01-04,1,1,1,21,0,3,1,2,0.2,0.2576,0.44,0.0
8739,2012-01-04,1,1,1,22,0,3,1,2,0.2,0.2273,0.47,0.0896
8740,2012-01-04,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045
8741,2012-01-05,1,1,1,0,0,4,1,2,0.22,0.2273,0.47,0.194
8742,2012-01-05,1,1,1,1,0,4,1,1,0.2,0.2273,0.51,0.0896
8743,2012-01-05,1,1,1,2,0,4,1,1,0.2,0.2273,0.51,0.0896
8744,2012-01-05,1,1,1,3,0,4,1,1,0.2,0.2576,0.61,0.0
8745,2012-01-05,1,1,1,4,0,4,1,2,0.2,0.2273,0.59,0.0896
8746,2012-01-05,1,1,1,5,0,4,1,2,0.2,0.2273,0.59,0.0896
8747,2012-01-05,1,1,1,6,0,4,1,2,0.2,0.2121,0.75,0.1343
8748,2012-01-05,1,1,1,7,0,4,1,2,0.2,0.2273,0.69,0.0896
8749,2012-01-05,1,1,1,8,0,4,1,2,0.2,0.2576,0.75,0.0
8750,2012-01-05,1,1,1,9,0,4,1,2,0.22,0.2727,0.69,0.0
8751,2012-01-05,1,1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896
8752,2012-01-05,1,1,1,11,0,4,1,1,0.3,0.3333,0.49,0.0
8753,2012-01-05,1,1,1,12,0,4,1,1,0.3,0.2879,0.49,0.2537
8754,2012-01-05,1,1,1,13,0,4,1,1,0.34,0.303,0.42,0.2985
8755,2012-01-05,1,1,1,14,0,4,1,1,0.34,0.3182,0.39,0.2836
8756,2012-01-05,1,1,1,15,0,4,1,1,0.36,0.3333,0.34,0.2836
8757,2012-01-05,1,1,1,16,0,4,1,1,0.36,0.3333,0.34,0.2836
8758,2012-01-05,1,1,1,17,0,4,1,2,0.36,0.3485,0.34,0.194
8759,2012-01-05,1,1,1,18,0,4,1,1,0.34,0.3333,0.36,0.1642
8760,2012-01-05,1,1,1,19,0,4,1,1,0.34,0.3485,0.34,0.0896
8761,2012-01-05,1,1,1,20,0,4,1,1,0.3,0.3333,0.49,0.0
8762,2012-01-05,1,1,1,21,0,4,1,1,0.26,0.2727,0.6,0.1343
8763,2012-01-05,1,1,1,22,0,4,1,1,0.26,0.2576,0.6,0.1642
8764,2012-01-05,1,1,1,23,0,4,1,1,0.24,0.2576,0.7,0.1045
8765,2012-01-06,1,1,1,0,0,5,1,1,0.22,0.2576,0.75,0.0896
8766,2012-01-06,1,1,1,1,0,5,1,1,0.22,0.2727,0.75,0.0
8767,2012-01-06,1,1,1,2,0,5,1,1,0.22,0.2273,0.69,0.1642
8768,2012-01-06,1,1,1,3,0,5,1,1,0.22,0.2424,0.69,0.1045
8769,2012-01-06,1,1,1,4,0,5,1,1,0.22,0.2273,0.69,0.1343
8770,2012-01-06,1,1,1,5,0,5,1,2,0.2,0.2121,0.8,0.1343
8771,2012-01-06,1,1,1,6,0,5,1,2,0.22,0.2424,0.73,0.1045
8772,2012-01-06,1,1,1,7,0,5,1,2,0.24,0.2879,0.65,0.0
8773,2012-01-06,1,1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343
8774,2012-01-06,1,1,1,9,0,5,1,1,0.24,0.2424,0.7,0.1642
8775,2012-01-06,1,1,1,10,0,5,1,1,0.26,0.2576,0.65,0.194
8776,2012-01-06,1,1,1,11,0,5,1,1,0.3,0.303,0.56,0.1642
8777,2012-01-06,1,1,1,12,0,5,1,1,0.36,0.3333,0.5,0.2537
8778,2012-01-06,1,1,1,13,0,5,1,1,0.4,0.4091,0.43,0.2836
8779,2012-01-06,1,1,1,14,0,5,1,1,0.46,0.4545,0.36,0.194
8780,2012-01-06,1,1,1,15,0,5,1,1,0.52,0.5,0.27,0.2537
8781,2012-01-06,1,1,1,16,0,5,1,1,0.52,0.5,0.27,0.2836
8782,2012-01-06,1,1,1,17,0,5,1,1,0.46,0.4545,0.36,0.2239
8783,2012-01-06,1,1,1,18,0,5,1,1,0.5,0.4848,0.29,0.2537
8784,2012-01-06,1,1,1,19,0,5,1,1,0.46,0.4545,0.33,0.2836
8785,2012-01-06,1,1,1,20,0,5,1,1,0.42,0.4242,0.41,0.194
8786,2012-01-06,1,1,1,21,0,5,1,1,0.4,0.4091,0.43,0.2239
8787,2012-01-06,1,1,1,22,0,5,1,1,0.36,0.3485,0.5,0.194
8788,2012-01-06,1,1,1,23,0,5,1,1,0.36,0.3788,0.5,0.0
8789,2012-01-07,1,1,1,0,0,6,0,1,0.36,0.3485,0.5,0.1642
8790,2012-01-07,1,1,1,1,0,6,0,1,0.38,0.3939,0.46,0.1642
8791,2012-01-07,1,1,1,2,0,6,0,1,0.36,0.3636,0.5,0.1045
8792,2012-01-07,1,1,1,3,0,6,0,1,0.32,0.3333,0.57,0.1045
8793,2012-01-07,1,1,1,4,0,6,0,1,0.32,0.3333,0.57,0.0896
8794,2012-01-07,1,1,1,5,0,6,0,1,0.26,0.2727,0.75,0.1045
8795,2012-01-07,1,1,1,6,0,6,0,1,0.26,0.2727,0.75,0.1045
8796,2012-01-07,1,1,1,7,0,6,0,1,0.22,0.2273,0.87,0.194
8797,2012-01-07,1,1,1,8,0,6,0,1,0.24,0.2576,0.75,0.1045
8798,2012-01-07,1,1,1,9,0,6,0,1,0.22,0.2273,0.8,0.1343
8799,2012-01-07,1,1,1,10,0,6,0,1,0.28,0.303,0.75,0.0896
8800,2012-01-07,1,1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239
8801,2012-01-07,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239
8802,2012-01-07,1,1,1,13,0,6,0,1,0.44,0.4394,0.44,0.194
8803,2012-01-07,1,1,1,14,0,6,0,1,0.5,0.4848,0.42,0.2836
8804,2012-01-07,1,1,1,15,0,6,0,1,0.58,0.5455,0.37,0.2985
8805,2012-01-07,1,1,1,16,0,6,0,2,0.56,0.5303,0.37,0.2836
8806,2012-01-07,1,1,1,17,0,6,0,2,0.54,0.5152,0.43,0.1343
8807,2012-01-07,1,1,1,18,0,6,0,1,0.54,0.5152,0.45,0.1343
8808,2012-01-07,1,1,1,19,0,6,0,1,0.52,0.5,0.42,0.1045
8809,2012-01-07,1,1,1,20,0,6,0,1,0.5,0.4848,0.39,0.2537
8810,2012-01-07,1,1,1,21,0,6,0,1,0.44,0.4394,0.44,0.2239
8811,2012-01-07,1,1,1,22,0,6,0,1,0.44,0.4394,0.38,0.2537
8812,2012-01-07,1,1,1,23,0,6,0,1,0.42,0.4242,0.38,0.2239
8813,2012-01-08,1,1,1,0,0,0,0,1,0.38,0.3939,0.4,0.2836
8814,2012-01-08,1,1,1,1,0,0,0,1,0.34,0.3333,0.42,0.194
8815,2012-01-08,1,1,1,2,0,0,0,1,0.36,0.3333,0.37,0.2836
8816,2012-01-08,1,1,1,3,0,0,0,1,0.34,0.3333,0.42,0.1343
8817,2012-01-08,1,1,1,4,0,0,0,1,0.32,0.303,0.49,0.2537
8818,2012-01-08,1,1,1,5,0,0,0,2,0.32,0.3333,0.49,0.1045
8819,2012-01-08,1,1,1,6,0,0,0,2,0.3,0.3333,0.52,0.0
8820,2012-01-08,1,1,1,7,0,0,0,2,0.3,0.3333,0.52,0.0
8821,2012-01-08,1,1,1,8,0,0,0,1,0.3,0.303,0.52,0.1343
8822,2012-01-08,1,1,1,9,0,0,0,1,0.32,0.3333,0.53,0.1343
8823,2012-01-08,1,1,1,10,0,0,0,1,0.34,0.3333,0.49,0.1642
8824,2012-01-08,1,1,1,11,0,0,0,1,0.36,0.3485,0.46,0.2239
8825,2012-01-08,1,1,1,12,0,0,0,1,0.38,0.3939,0.43,0.2239
8826,2012-01-08,1,1,1,13,0,0,0,1,0.4,0.4091,0.37,0.2985
8827,2012-01-08,1,1,1,14,0,0,0,1,0.4,0.4091,0.4,0.194
8828,2012-01-08,1,1,1,15,0,0,0,1,0.4,0.4091,0.37,0.2836
8829,2012-01-08,1,1,1,16,0,0,0,1,0.4,0.4091,0.37,0.2985
8830,2012-01-08,1,1,1,17,0,0,0,1,0.38,0.3939,0.4,0.2239
8831,2012-01-08,1,1,1,18,0,0,0,1,0.34,0.3182,0.46,0.2239
8832,2012-01-08,1,1,1,19,0,0,0,1,0.32,0.3182,0.49,0.194
8833,2012-01-08,1,1,1,20,0,0,0,1,0.3,0.303,0.52,0.1642
8834,2012-01-08,1,1,1,21,0,0,0,1,0.28,0.2727,0.56,0.2239
8835,2012-01-08,1,1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045
8836,2012-01-08,1,1,1,23,0,0,0,1,0.26,0.2424,0.56,0.2537
8837,2012-01-09,1,1,1,0,0,1,1,1,0.24,0.2273,0.6,0.2239
8838,2012-01-09,1,1,1,1,0,1,1,1,0.24,0.2424,0.6,0.1343
8839,2012-01-09,1,1,1,2,0,1,1,1,0.24,0.2424,0.56,0.1343
8840,2012-01-09,1,1,1,3,0,1,1,1,0.24,0.2424,0.52,0.1642
8841,2012-01-09,1,1,1,4,0,1,1,1,0.22,0.2424,0.64,0.1045
8842,2012-01-09,1,1,1,5,0,1,1,2,0.2,0.2273,0.64,0.0896
8843,2012-01-09,1,1,1,6,0,1,1,2,0.22,0.2273,0.6,0.1343
8844,2012-01-09,1,1,1,7,0,1,1,2,0.22,0.2424,0.6,0.1045
8845,2012-01-09,1,1,1,8,0,1,1,2,0.22,0.2576,0.55,0.0896
8846,2012-01-09,1,1,1,9,0,1,1,2,0.22,0.2727,0.64,0.0
8847,2012-01-09,1,1,1,10,0,1,1,1,0.24,0.2879,0.6,0.0
8848,2012-01-09,1,1,1,11,0,1,1,2,0.26,0.2879,0.56,0.0896
8849,2012-01-09,1,1,1,12,0,1,1,2,0.26,0.2727,0.56,0.1045
8850,2012-01-09,1,1,1,13,0,1,1,2,0.26,0.2727,0.56,0.1045
8851,2012-01-09,1,1,1,14,0,1,1,3,0.22,0.2273,0.75,0.1642
8852,2012-01-09,1,1,1,15,0,1,1,3,0.22,0.2273,0.75,0.1642
8853,2012-01-09,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896
8854,2012-01-09,1,1,1,17,0,1,1,3,0.22,0.2727,0.87,0.0
8855,2012-01-09,1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896
8856,2012-01-09,1,1,1,19,0,1,1,3,0.2,0.2273,0.93,0.0896
8857,2012-01-09,1,1,1,20,0,1,1,2,0.2,0.2273,0.86,0.0896
8858,2012-01-09,1,1,1,21,0,1,1,2,0.2,0.2576,0.93,0.0
8859,2012-01-09,1,1,1,22,0,1,1,2,0.2,0.2273,0.92,0.1045
8860,2012-01-09,1,1,1,23,0,1,1,2,0.22,0.2424,0.87,0.1045
8861,2012-01-10,1,1,1,0,0,2,1,2,0.22,0.2424,0.87,0.1045
8862,2012-01-10,1,1,1,1,0,2,1,2,0.22,0.2424,0.93,0.1045
8863,2012-01-10,1,1,1,2,0,2,1,2,0.22,0.2273,0.87,0.1642
8864,2012-01-10,1,1,1,4,0,2,1,2,0.2,0.2121,0.86,0.1642
8865,2012-01-10,1,1,1,5,0,2,1,1,0.4,0.4091,0.47,0.2239
8866,2012-01-10,1,1,1,6,0,2,1,2,0.18,0.1818,0.93,0.194
8867,2012-01-10,1,1,1,7,0,2,1,2,0.18,0.197,0.93,0.1642
8868,2012-01-10,1,1,1,8,0,2,1,2,0.18,0.197,0.93,0.1642
8869,2012-01-10,1,1,1,9,0,2,1,2,0.18,0.197,0.93,0.1642
8870,2012-01-10,1,1,1,10,0,2,1,2,0.18,0.197,0.93,0.1642
8871,2012-01-10,1,1,1,11,0,2,1,1,0.42,0.4242,0.38,0.2985
8872,2012-01-10,1,1,1,12,0,2,1,1,0.42,0.4242,0.38,0.2985
8873,2012-01-10,1,1,1,13,0,2,1,1,0.42,0.4242,0.38,0.2985
8874,2012-01-10,1,1,1,14,0,2,1,1,0.42,0.4242,0.38,0.2985
8875,2012-01-10,1,1,1,15,0,2,1,1,0.42,0.4242,0.38,0.2985
8876,2012-01-10,1,1,1,16,0,2,1,1,0.42,0.4242,0.38,0.3582
8877,2012-01-10,1,1,1,17,0,2,1,1,0.42,0.4242,0.38,0.2537
8878,2012-01-10,1,1,1,18,0,2,1,1,0.4,0.4091,0.4,0.1045
8879,2012-01-10,1,1,1,19,0,2,1,1,0.38,0.3939,0.46,0.1045
8880,2012-01-10,1,1,1,20,0,2,1,1,0.34,0.3485,0.53,0.1045
8881,2012-01-10,1,1,1,21,0,2,1,1,0.32,0.3333,0.66,0.0896
8882,2012-01-10,1,1,1,22,0,2,1,1,0.3,0.303,0.7,0.0896
8883,2012-01-10,1,1,1,23,0,2,1,1,0.26,0.2727,0.81,0.1045
8884,2012-01-11,1,1,1,0,0,3,1,1,0.26,0.303,0.81,0.0
8885,2012-01-11,1,1,1,1,0,3,1,1,0.24,0.2576,0.87,0.0896
8886,2012-01-11,1,1,1,2,0,3,1,1,0.2,0.2121,0.85,0.1642
8887,2012-01-11,1,1,1,3,0,3,1,1,0.22,0.2727,0.8,0.0
8888,2012-01-11,1,1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343
8889,2012-01-11,1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343
8890,2012-01-11,1,1,1,6,0,3,1,1,0.2,0.2121,0.86,0.1343
8891,2012-01-11,1,1,1,7,0,3,1,1,0.2,0.2121,0.8,0.1343
8892,2012-01-11,1,1,1,8,0,3,1,1,0.2,0.2273,0.82,0.1045
8893,2012-01-11,1,1,1,9,0,3,1,2,0.2,0.2121,0.86,0.1343
8894,2012-01-11,1,1,1,10,0,3,1,2,0.24,0.2424,0.87,0.1343
8895,2012-01-11,1,1,1,11,0,3,1,2,0.26,0.2879,0.87,0.0896
8896,2012-01-11,1,1,1,12,0,3,1,3,0.3,0.3333,0.81,0.0
8897,2012-01-11,1,1,1,13,0,3,1,3,0.32,0.3485,0.76,0.0
8898,2012-01-11,1,1,1,14,0,3,1,3,0.32,0.3333,0.81,0.1045
8899,2012-01-11,1,1,1,15,0,3,1,2,0.34,0.3485,0.87,0.0896
8900,2012-01-11,1,1,1,16,0,3,1,2,0.34,0.3182,0.87,0.2537
8901,2012-01-11,1,1,1,17,0,3,1,3,0.34,0.3182,0.87,0.2239
8902,2012-01-11,1,1,1,18,0,3,1,3,0.34,0.3333,0.87,0.194
8903,2012-01-11,1,1,1,19,0,3,1,3,0.32,0.303,0.93,0.2239
8904,2012-01-11,1,1,1,20,0,3,1,3,0.32,0.3182,0.93,0.1642
8905,2012-01-11,1,1,1,21,0,3,1,3,0.34,0.3182,0.87,0.2239
8906,2012-01-11,1,1,1,22,0,3,1,3,0.34,0.3333,0.87,0.194
8907,2012-01-11,1,1,1,23,0,3,1,3,0.34,0.3182,0.87,0.2239
8908,2012-01-12,1,1,1,0,0,4,1,3,0.34,0.3333,0.93,0.194
8909,2012-01-12,1,1,1,1,0,4,1,3,0.36,0.3485,0.93,0.194
8910,2012-01-12,1,1,1,2,0,4,1,3,0.36,0.3485,0.93,0.2537
8911,2012-01-12,1,1,1,3,0,4,1,3,0.36,0.3485,0.93,0.2537
8912,2012-01-12,1,1,1,4,0,4,1,3,0.36,0.3485,0.93,0.194
8913,2012-01-12,1,1,1,5,0,4,1,3,0.34,0.3485,0.93,0.0896
8914,2012-01-12,1,1,1,6,0,4,1,3,0.36,0.3485,0.93,0.1343
8915,2012-01-12,1,1,1,7,0,4,1,2,0.34,0.3182,0.87,0.2836
8916,2012-01-12,1,1,1,8,0,4,1,1,0.32,0.3182,0.81,0.194
8917,2012-01-12,1,1,1,9,0,4,1,1,0.32,0.3333,0.81,0.1045
8918,2012-01-12,1,1,1,10,0,4,1,1,0.34,0.3485,0.81,0.1045
8919,2012-01-12,1,1,1,11,0,4,1,2,0.34,0.3485,0.81,0.1045
8920,2012-01-12,1,1,1,12,0,4,1,2,0.34,0.3485,0.81,0.1045
8921,2012-01-12,1,1,1,13,0,4,1,1,0.42,0.4242,0.77,0.1642
8922,2012-01-12,1,1,1,14,0,4,1,1,0.42,0.4242,0.77,0.1642
8923,2012-01-12,1,1,1,15,0,4,1,1,0.44,0.4394,0.72,0.1343
8924,2012-01-12,1,1,1,16,0,4,1,1,0.46,0.4545,0.67,0.194
8925,2012-01-12,1,1,1,17,0,4,1,1,0.46,0.4545,0.63,0.1642
8926,2012-01-12,1,1,1,18,0,4,1,1,0.44,0.4394,0.67,0.194
8927,2012-01-12,1,1,1,19,0,4,1,2,0.42,0.4242,0.71,0.1642
8928,2012-01-12,1,1,1,20,0,4,1,2,0.42,0.4242,0.71,0.194
8929,2012-01-12,1,1,1,21,0,4,1,1,0.44,0.4394,0.67,0.1343
8930,2012-01-12,1,1,1,22,0,4,1,1,0.38,0.3939,0.76,0.2985
8931,2012-01-12,1,1,1,23,0,4,1,1,0.4,0.4091,0.76,0.3284
8932,2012-01-13,1,1,1,0,0,5,1,2,0.4,0.4091,0.71,0.2836
8933,2012-01-13,1,1,1,1,0,5,1,2,0.38,0.3939,0.76,0.2985
8934,2012-01-13,1,1,1,2,0,5,1,1,0.4,0.4091,0.76,0.3582
8935,2012-01-13,1,1,1,3,0,5,1,1,0.36,0.3333,0.87,0.2537
8936,2012-01-13,1,1,1,4,0,5,1,3,0.32,0.2879,0.7,0.4925
8937,2012-01-13,1,1,1,5,0,5,1,2,0.3,0.2424,0.7,0.5522
8938,2012-01-13,1,1,1,6,0,5,1,2,0.26,0.2576,0.75,0.2239
8939,2012-01-13,1,1,1,7,0,5,1,1,0.26,0.2576,0.6,0.2239
8940,2012-01-13,1,1,1,8,0,5,1,1,0.24,0.2121,0.52,0.3582
8941,2012-01-13,1,1,1,9,0,5,1,1,0.22,0.197,0.47,0.3881
8942,2012-01-13,1,1,1,10,0,5,1,1,0.24,0.197,0.44,0.4478
8943,2012-01-13,1,1,1,11,0,5,1,1,0.24,0.1818,0.38,0.6119
8944,2012-01-13,1,1,1,12,0,5,1,1,0.24,0.197,0.38,0.4925
8945,2012-01-13,1,1,1,13,0,5,1,1,0.26,0.2121,0.33,0.5224
8946,2012-01-13,1,1,1,14,0,5,1,1,0.26,0.2121,0.33,0.5522
8947,2012-01-13,1,1,1,15,0,5,1,1,0.26,0.2121,0.33,0.5821
8948,2012-01-13,1,1,1,16,0,5,1,1,0.28,0.2424,0.3,0.4627
8949,2012-01-13,1,1,1,17,0,5,1,1,0.28,0.2424,0.33,0.4179
8950,2012-01-13,1,1,1,18,0,5,1,1,0.26,0.2273,0.38,0.2985
8951,2012-01-13,1,1,1,19,0,5,1,1,0.26,0.2424,0.38,0.2836
8952,2012-01-13,1,1,1,20,0,5,1,1,0.24,0.2424,0.41,0.1642
8953,2012-01-13,1,1,1,21,0,5,1,1,0.24,0.2121,0.41,0.2836
8954,2012-01-13,1,1,1,22,0,5,1,1,0.2,0.1818,0.47,0.3284
8955,2012-01-13,1,1,1,23,0,5,1,1,0.18,0.1818,0.47,0.194
8956,2012-01-14,1,1,1,0,0,6,0,1,0.16,0.1818,0.47,0.1045
8957,2012-01-14,1,1,1,1,0,6,0,1,0.16,0.1515,0.47,0.194
8958,2012-01-14,1,1,1,2,0,6,0,1,0.16,0.1667,0.47,0.1642
8959,2012-01-14,1,1,1,3,0,6,0,1,0.14,0.1667,0.54,0.1045
8960,2012-01-14,1,1,1,4,0,6,0,1,0.14,0.1515,0.5,0.1343
8961,2012-01-14,1,1,1,5,0,6,0,1,0.14,0.1515,0.5,0.1343
8962,2012-01-14,1,1,1,6,0,6,0,1,0.14,0.1515,0.5,0.0
