PID,Name,PClass,Age,Sex
293,"Bird, Ms Ellen",1st,NA,female
294,"Bissetti, Ms Amelia",1st,NA,female
295,"Burns, Ms Elizabeth Margaret",1st,NA,female
296,"Chaudanson, Ms         Victorine",1st,NA,female
297,"Cleaver, Ms Alice",1st,NA,female
298,"Daniels, Ms Sarah",1st,NA,female
299,"Endres, Miss Caroline Louise",1st,NA,female
300,"Farthing, Mr John",1st,NA,male
301,"Fleming, Ms Margaret",1st,NA,female
302,"Francatelli, Ms Laura Mabel",1st,NA,female
303,"Fry, Mr Richard",1st,NA,male
304,"Geiger, Miss Emily ",1st,NA,female
305,"Giglio, Mr Victor",1st,NA,male
306,"Harrington, Mr Charles",1st,NA,male
307,"Harrison, Mr William   Henry",1st,40,male
308,"Hassah, Mr Hamad",1st,NA,male
309,"Icabad (Icabod), Ms",1st,NA,female
310,"Keeping, Mr Edwin",1st,32,male
311,"Kenchen, Ms Amelia",1st,NA,female
312,"LeRoy, Miss Berthe",1st,NA,female
313,"Lesneur, Mr Gustave",1st,NA,male
314,"Maloney, Ms",1st,NA,female
315,"Oliva, Mlle",1st,NA,female
316,"Pericault, Ms",1st,NA,female
317,"Ringhini, Mr Sante",1st,33,male
318,"Robbins, Mr Victor",1st,NA,male
319,"Segesser, Mlle Emma",1st,NA,female
320,"Seredeca, Ms",1st,NA,female
321,"Ward, Ms Anna",1st,NA,female
322,"Wilson, Ms Helen",1st,NA,female
323,"Abelson, Mr Samuel",2nd,30,male
324,"Abelson, Mrs Samuel (Anna)",2nd,28,female
325,"Andrew, Mr Edgar Samuel",2nd,18,male
326,"Andrew, Mr Frank",2nd,NA,male
327,"Angle, Mr William A",2nd,34,male
328,"Angle, Mrs William A (Florence)",2nd,32,female
329,"Ashby, Mr John",2nd,57,male
330,"Bailey, Mr Percy Andrew",2nd,18,male
331,"Baimbrigge, Mr Charles R",2nd,23,male
332,"Balls, Mrs Ada E Hall",2nd,36,female
333,"Banfield, Mr Frederick J",2nd,28,male
334,"Bateman, Rev Robert James",2nd,51,male
335,"Beane, Mr Edward",2nd,32,male
336,"Beane, Mrs Edward (Ethel Clarke)",2nd,19,female
337,"Beauchamp, Mr Henry James",2nd,28,male
338,"Becker, Mrs Allen Oliver (Nellie E Baumgardner)",2nd,36,female
339,"Becker, Miss Marion Louise",2nd,4,female
340,"Becker, Master Richard F",2nd,1,male
341,"Becker, Miss Ruth Elizabeth",2nd,12,female
342,"Beesley, Mr Lawrence",2nd,34,male
343,"Bentham, Miss Lilian W",2nd,19,female
344,"Berriman, Mr William S",2nd,23,male
345,"Botsford, Mr William Hull",2nd,26,male
346,"Bowenur, Mr Solomon",2nd,NA,male
347,"Bracken, Mr James H",2nd,27,male
348,"Brown, Miss Edith E",2nd,15,female
349,"Brown, Mr Thomas William Solomon",2nd,45,male
350,"Brown, Mrs Thomas William Solomon (Elizabeth C)",2nd,40,female
351,"Bryhl, Miss Dagmar",2nd,20,female
352,"Bryhl, Mr Kurt Arnold Gottfrid",2nd,25,male
353,"Buss, Miss Kate",2nd,36,female
354,"Butler, Mr Reginald Fenton",2nd,25,male
355,"Byles, Rev Thomas Roussel D",2nd,NA,male
356,"Bystrom, Mrs Carolina",2nd,42,female
357,"Caldwell, Mr Albert Francis",2nd,26,male
358,"Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)",2nd,26,female
359,"Caldwell, Master Alden Gates",2nd,0.83,male
360,"Cameron, Miss Clear",2nd,31,female
361,"Campbell, Mr William",2nd,NA,male
362,"Carbines, Mr William",2nd,19,male
363,"Carter, Rev Ernest Courtenay",2nd,54,male
364,"Carter, Mrs Ernest Courtenay (Lillian Hughes)",2nd,44,female
365,"Chapman, Mr Charles Henry",2nd,52,male
366,"Chapman, Mr John Henry",2nd,30,male
367,"Chapman, Mrs John Henry (Elizabeth Lawry)",2nd,30,female
368,"Christy, Mrs Alice Frances",2nd,NA,female
369,"Christy, Miss Julie",2nd,NA,female
370,"Clarke, Mr Charles V",2nd,29,male
371,"Clarke, Mrs Charles V (Ada Maria)",2nd,NA,female
372,"Coleridge, Mr Reginald Charles",2nd,29,male
373,"Collander, Mr Erik",2nd,27,male
374,"Collett, Mr Sidney C Stuart",2nd,24,male
375,"Collyer, Mr Harvey",2nd,35,male
376,"Collyer, Mrs Harvey (Charlotte Tate)",2nd,31,female
377,"Collyer, Miss Marjorie",2nd,8,female
378,"Cook, Mrs Selena Rogers",2nd,22,female
379,"Corbett, Mrs Walter H (Irene Colvin)",2nd,30,female
380,"Corey, Mrs Percy C (Mary Phyllis Elizabeth Miller)",2nd,NA,female
381,"Cotterill, Mr Harry",2nd,20,male
382,"Cunningham, Mr Alfred Fleming",2nd,NA,male
383,"Davies, Mr Charles Henry",2nd,21,male
384,"Davis, Mrs Agnes",2nd,49,female
385,"Davis, Master John Morgan",2nd,8,male
386,"Davis, Miss Mary",2nd,28,female
387,"Deacon, Mr Percy",2nd,18,male
388,"de Brito, Mr Jose Joaquim",2nd,NA,male
389,"del Carlo, Mr Sebastiano",2nd,28,male
390,"del Carlo, Mrs Sebastiano (Argenia Genovese)",2nd,22,female
391,"Denbury, Mr Herbert",2nd,25,male
392,"Dibden, Mr William",2nd,18,male
393,"Doling, Mrs Ada",2nd,32,female
394,"Doling, Miss Elsie",2nd,18,female
395,"Downton (?Douton), Mr William James",2nd,NA,male
396,"Drew, Mr James Vivian",2nd,42,male
397,"Drew, Mrs James Vivian (Lulu Thorne Christian)",2nd,34,female
398,"Drew, Master Marshall Brines",2nd,8,male
399,"Duran y More, Miss Asuncion",2nd,NA,female
400,"Duran y More, Miss Florentina",2nd,NA,female
401,"Eitemiller, Mr George Floyd",2nd,23,male
402,"Enander, Mr Ingvar",2nd,21,male
403,"Fahlstrom, Mr Arne Jonas",2nd,19,male
404,"Faunthorpe, Mr Harry",2nd,NA,male
405,"Faunthorpe, Mrs Lizzie (see Wilkinson, E)",2nd,NA,female
406,"Fillbrook, Mr Charles",2nd,NA,male
407,"Fox, Mr Stanley H",2nd,38,male
408,"Frost, Mr Anthony (Archie) W",2nd,NA,male
409,"Funk, Miss Annie C",2nd,38,female
410,"Fynney, Mr Joseph J",2nd,35,male
411,"Gale, Mr Harry",2nd,35,male
412,"Gale, Mr Shadrach",2nd,38,male
413,"Garside, Miss Ethel",2nd,24,female
414,"Gaskell, Mr Alfred",2nd,16,male
415,"Gavey, Mr Lawrence",2nd,26,male
416,"Gilbert, Mr William",2nd,45,male
417,"Giles, Mr Edgar",2nd,24,male
418,"Giles, Mr Frederick",2nd,21,male
419,"Giles, Mr Ralph",2nd,22,male
420,"Gill, Mr John W",2nd,NA,male
421,"Gillespie, Mr William",2nd,34,male
422,"Givard, Mr Hans Christensen",2nd,30,male
423,"Greenberg, Mr Samuel",2nd,50,male
424,"Hale, Mr Reginald",2nd,30,male
425,"Hamalainen, Mrs William (Anna)",2nd,23,female
426,"Hamalainen, Master Viljo",2nd,1,male
427,"Harbeck, Mr William H",2nd,44,male
428,"Harper, Rev John",2nd,28,male
429,"Harper, Miss Nina",2nd,6,female
430,"Harris, Mr George",2nd,30,male
431,"Harris, Mr Walter",2nd,NA,male
432,"Hart, Mr Benjamin",2nd,43,male
433,"Hart, Mrs Benjamin (Esther)",2nd,45,female
434,"Hart, Miss Eva Miriam",2nd,7,female
435,"Herman, Miss Alice",2nd,24,female
436,"Herman, Miss Kate",2nd,24,female
437,"Herman, Mr Samuel",2nd,49,male
438,"Herman, Mrs Samuel (Jane Laver)",2nd,48,female
439,"Hewlett, Mrs Mary D",2nd,NA,female
440,"Hickman, Mr Leonard Mark",2nd,34,male
441,"Hickman, Mr Lewis",2nd,32,male
442,"Hickman, Mr Stanley George",2nd,21,male
443,"Hiltunen, Miss Marta",2nd,18,female
444,"Hocking, Mrs Elizabeth",2nd,53,female
445,"Hocking, Mr George",2nd,23,male
446,"Hocking, Miss Ellen (Nellie)",2nd,21,female
447,"Hocking, Mr Samuel James",2nd,NA,male
448,"Hodges, Mr Henry Price",2nd,52,male
449,"Hold, Mr Stephen",2nd,42,male
450,"Hold, Mrs Stephen (Annie Margaret)",2nd,36,female
451,"Hood, Mr Ambrose, Jr",2nd,21,male
452,"Hosono, Mr Masafumi",2nd,41,male
453,"Howard, Mr Benjamin",2nd,NA,male
454,"Howard, Mrs Benjamin (Ellen Truelove)",2nd,NA,female
455,"Hunt, Mr George Henry",2nd,33,male
456,"Ilett, Miss Bertha",2nd,17,female
457,Jacobsohn Mr Samuel,*,NA,male
458,"Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)",2nd,NA,female
459,"Jarvis, Mr John Denzil",2nd,NA,male
460,"Jefferys, Mr Clifford",2nd,NA,male
461,"Jefferys, Mr Ernest",2nd,NA,male
462,"Jenkin, Mr Stephen Curnow",2nd,NA,male
463,"Jerwan, Mrs Amin S (Marie Thuillard)",2nd,23,female
464,"Kantor, Mr Sinai",2nd,34,male
465,"Kantor, Mrs Sinai (Miriam Sternim)",2nd,NA,female
466,"Karnes, Mrs J Frank (Claire Bennett)",2nd,22,female
467,"Keane, Mr Daniel",2nd,NA,male
468,"Keane, Miss Nora A",2nd,NA,female
469,"Kelly, Mrs Florence (Fannie)",2nd,45,female
470,"Kirkland, Rev Charles Leonard",2nd,NA,male
471,"Knight, Mr Robert",2nd,NA,male
472,"Kvillner, Mr Johan Henrik Johannesson",2nd,31,male
473,"Lahtinen, Rev William",2nd,30,male
474,"Lahtinen, Mrs William (Anna Sylvan)",2nd,26,female
475,"Lamb, Mr John James",2nd,NA,male
476,"Lemore, Mrs Amelia",2nd,34,female
477,"LaRoche, Mr Joseph",2nd,26,male
478,"LaRoche, Mrs Joseph (Juliet)",2nd,22,female
479,"LaRoche, Miss Louise",2nd,1,female
480,"LaRoche, Miss Simonne",2nd,3,female
481,"Lehmann, Miss Bertha",2nd,NA,female
482,"Leitch, Miss Jessie",2nd,NA,female
483,"Levy, Mr Rene Jacques",2nd,NA,male
484,"Leyson, Mr Robert William Norman",2nd,25,male
485,"Lingan, Mr John",2nd,NA,male
486,"Louch, Mr Charles Alexander",2nd,48,male
487,"Louch, Mrs Charles Alexander (Alice Adelaide)",2nd,NA,female
488,"Mack, Mrs Mary",2nd,57,female
489,"Malachard, Mr Noel",2nd,NA,male
490,"Mallet, Mr Albert",2nd,NA,male
491,"Mallet, Mrs Albert (Antoinette)",2nd,NA,female
492,"Mallet, Master Andre",2nd,2,male
493,"Mangiavacchi, Mr Serafino Emilio",2nd,NA,male
494,"Mantvila, Rev Joseph",2nd,27,male
495,"Marshall, Mrs Kate Louise Phillips",2nd,19,female
496,"Matthews, Mr William John",2nd,30,male
497,"Maybery, Mr Frank H",2nd,20,male
498,"McCrae, Mr Arthur Gordon",2nd,45,male
499,"McCrie, Mr James Matthew",2nd,NA,male
500,"McKane, Mr Peter D",2nd,46,male
501,"Mellenger, Mrs Elizabeth Anne",2nd,41,female
502,"Mellenger, Miss Madeleine Violet",2nd,13,female
503,"Mellor, Mr William John",2nd,19,male
504,"Meyer, Mr August",2nd,30,male
505,"Milling, Mr Jacob Christian",2nd,48,male
506,"Mitchell, Mr Henry Michael",2nd,71,male
507,"Moraweck, Dr Ernest",2nd,54,male
